date,trade,conf,n,risk_usd,spot_in,spot_out,iv_in,iv_out,fc_mean,fc_p95,fc_skew,fc_kurt,rv_cons,vrp_pct,regime,prob_turb,pnl,capital,reason
2023-08-18,SELL_STRADDLE,0.6,38,17542.27,419.73,422.76,0.1547,0.1454,0.10186,0.19452,1.7871,4.9988,0.09795,0.34155,0,0.1604,2227.33,1038306.76,VRP=+34.2% | IV>5RV
2023-08-21,SELL_STRADDLE,0.6,35,15333.36,423.78,425.51,0.1454,0.1482,0.10186,0.19452,1.7871,4.9988,0.09726,0.29943,0,0.1604,1910.64,1040217.4,VRP=+29.9% | IV>5RV
2023-08-22,SELL_STRADDLE,0.6,36,16208.24,427.29,424.36,0.1482,0.1439,0.10186,0.19452,1.7871,4.9988,0.09692,0.31267,0,0.1604,2230.01,1042447.41,VRP=+31.3% | IV>5RV
2023-08-23,SELL_STRADDLE,0.6,34,14799.02,425.42,429.08,0.1439,0.1334,0.10186,0.19452,1.7871,4.9988,0.09853,0.29213,0,0.1604,192.99,1042640.4,VRP=+29.2% | IV>5RV
2023-08-24,SELL_STRADDLE,0.7,36,14707.26,430.69,423.14,0.1334,0.141,0.08908,0.14329,1.6598,7.5563,0.10124,0.33221,0,0.0264,-12432.2,1030208.2,VRP=+33.2% | IV>5RV | p90<IV
2023-08-25,SELL_STRADDLE,0.7,38,16186.05,424.87,426.12,0.141,0.1178,0.08908,0.14329,1.6598,7.5563,0.11319,0.36821,0,0.0264,2403.62,1032611.82,VRP=+36.8% | IV>5RV | p90<IV
2023-08-28,NO_TRADE,0.3,0,0.0,428.32,428.82,0.1178,0.1153,0.08908,0.14329,1.6598,7.5563,0.11788,0.24378,0,0.0264,0.0,1032611.82,VRP=+24.4%
2023-08-29,NO_TRADE,0.3,0,0.0,428.71,435.02,0.1153,0.113,0.08908,0.14329,1.6598,7.5563,0.11935,0.22738,0,0.0264,0.0,1032611.82,VRP=+22.7%
2023-08-30,NO_TRADE,0.3,0,0.0,435.36,436.81,0.113,0.1042,0.08908,0.14329,1.6598,7.5563,0.11957,0.21166,0,0.0264,0.0,1032611.82,VRP=+21.2%
2023-08-31,NO_TRADE,0.1,0,0.0,437.43,436.17,0.1042,0.0979,0.11733,0.23347,1.4149,2.6818,0.11974,-0.12606,0,0.2534,0.0,1032611.82,k=2.7
2023-09-01,NO_TRADE,0.1,0,0.0,438.9,436.99,0.0979,0.0845,0.11733,0.23347,1.4149,2.6818,0.11957,-0.19852,0,0.2534,0.0,1032611.82,k=2.7
2023-09-05,NO_TRADE,0.1,0,0.0,436.54,435.1,0.0845,0.1089,0.11733,0.23347,1.4149,2.6818,0.11664,-0.38858,0,0.2534,0.0,1032611.82,k=2.7
2023-09-06,NO_TRADE,0.1,0,0.0,434.28,432.17,0.1089,0.111,0.11733,0.23347,1.4149,2.6818,0.11597,-0.07746,0,0.2534,0.0,1032611.82,k=2.7
2023-09-07,NO_TRADE,0.1,0,0.0,429.16,430.85,0.111,0.111,0.11733,0.23347,1.4149,2.6818,0.11462,-0.05707,0,0.2534,0.0,1032611.82,k=2.7
2023-09-08,NO_TRADE,0.3,0,0.0,430.89,431.49,0.111,0.1038,0.09821,0.16052,1.5129,6.0732,0.11466,0.11521,0,0.0217,0.0,1032611.82,VRP=+11.5%
2023-09-11,NO_TRADE,0.15,0,0.0,434.13,434.33,0.1038,0.1127,0.09821,0.16052,1.5129,6.0732,0.11243,0.05384,0,0.0217,0.0,1032611.82,VRP(w)=+5.4%
2023-09-12,NO_TRADE,0.3,0,0.0,432.88,431.95,0.1127,0.1205,0.09821,0.16052,1.5129,6.0732,0.11365,0.12856,0,0.0217,0.0,1032611.82,VRP=+12.9%
2023-09-13,SELL_SMALL,0.45,8,2962.76,432.17,432.45,0.1205,0.1047,0.09821,0.16052,1.5129,6.0732,0.10875,0.18496,0,0.0217,972.49,1033584.31,VRP=+18.5% | IV>4RV
2023-09-14,NO_TRADE,0.15,0,0.0,434.93,436.18,0.1047,0.098,0.09821,0.16052,1.5129,6.0732,0.10711,0.06197,0,0.0217,0.0,1033584.31,VRP(w)=+6.2%
2023-09-15,NO_TRADE,0.1,0,0.0,434.59,430.93,0.098,0.1051,0.10383,0.18351,1.2541,2.9865,0.10842,-0.05951,0,0.0843,0.0,1033584.31,k=3.0
